task_difficulty,time_to_reward,past_failure_loops,self_efficacy,stress_level,goal_clarity,social_support,intrinsic_motivation,habit_strength,distraction_level,use_case,delay_cause,delay_severity_raw,respondent_id
7.742307293895486,9.058859152127756,2.282679550095549,3.4286654575358693,6.740690253943722,5.731795301257563,6.767462520240904,4.548610880424577,-0.4655191589352996,0.7361757108983866,Career Choices,Lack of Immediate Reward,0.5637,R000001
7.334173139659494,4.665099280055786,0.6135990901850472,6.953426282354609,3.99545311982819,2.8617237964377895,3.3447027139492853,5.22817482914865,4.117435390465317,,Studying,Overwhelm / Complexity,0.279,R000002
,0.3582679710760672,1.193303392434238,4.348731074302682,3.7992245635815642,3.581250541516222,4.670002760356518,6.678032706777798,6.758988495058886,1.221841698907856,Fitness,Perfectionism,0.0673,R000003
3.0753967342892983,5.531483754873186,1.8925788355404256,4.496603398413479,6.3617927146403,7.4127805326839376,5.466232073037466,3.9491834694209667,4.013531177747247,4.056790403940123,Fitness,Lack of Immediate Reward,0.2727,R000004
4.949784407388229,6.07140176377926,4.204489218217189,6.626165383959953,4.037693481718211,7.58065246443957,6.3381964641010375,10.446398775934515,4.089195488139904,5.825607274126759,Fitness,Overwhelm / Complexity,0.2723,R000005
8.000214535919563,8.04235150362771,3.64702063943108,5.117701116607528,5.666799484234588,3.513606607142135,1.9864198084839568,7.956306302787388,1.5258874956624724,5.838136874262022,career choices,Overwhelm / Complexity,0.4477,R000006
6.1607418893346555,5.06292919901605,4.5655446220878995,4.727922157674492,8.525481943137772,7.1083045690550275,3.7193908328114933,5.604660955262904,,1.8012937742679114,Career Choices,Past Failure Loop,0.3814,R000007
6.947766567867836,6.65326628922871,5.1784469300961655,0.831902125791121,7.402957938249067,3.667987937770454,3.282755673845376,4.272036156403096,3.701277238900161,5.376594828639066,Career Choices,Fear of Failure,0.5268,R000008
5.969476695511106,2.907615097705562,2.941662323819315,6.6985611864494246,3.4503002760715518,2.361122211891484,1.8590038815257999,5.632725431213088,4.066275458247144,2.254615002460413,Fitness,Perfectionism,0.2643,R000009
5.1669645659704635,1.8673328562416973,2.8874218199352235,7.006199250769782,3.959515186814689,2.61581400538025,,,5.62968655981615,3.726364307189474,Fitness,Perfectionism,0.1627,R000010
7.0729067521823765,2.2193913682254065,1.961198596559447,5.074535714144721,3.700841479910663,5.989245282228563,3.168241118201613,5.289159315472571,4.48038905160069,4.091321948365378,Fitness,Overwhelm / Complexity,0.2496,R000011
5.72998180878364,4.411784869954918,0.2769209344098811,5.590546330974431,6.9960312181325826,,3.8803145857038315,3.0430049487497968,4.153923679146098,2.9484478244427885,Career Choices,Lack of Immediate Reward,0.2217,R000012
9.215973745600573,,,-0.16203939237638743,,3.840155243655922,7.81082657635057,2.5787805279725413,3.707787931804761,6.008170384372708,Career Choices,Overwhelm / Complexity,0.4564,R000013
4.9814755557727,6.089793576277287,3.8417792655142655,5.545309621728841,6.217847678930163,4.437451959856615,5.603720194506566,6.2675792810292155,1.4984545347176161,6.9159697922313725,Career Choices,Decision Fatigue,0.3123,R000014
2.663596967812932,3.346792406806814,2.2911476464666163,2.6167146419937057,5.939916953735986,8.074924527696943,6.537653451695579,4.215499674671953,1.990633544939068,5.06971945393075,Fitness,Decision Fatigue,0.2464,R000015
8.274592004899858,3.622540799248004,2.87675221134383,4.309397492473486,5.822456920916349,6.815258590604363,6.648939158797362,7.796887300767308,3.766062450662882,5.790968097563991,Studying,Overwhelm / Complexity,0.397,R000016
3.9205828551857937,5.0117941200058205,3.2184947886136492,3.558432083709749,3.2456418543266947,8.594039814110989,6.022783928230379,4.39688723783282,3.259940678857667,6.563850119182394,Fitness,Lack of Immediate Reward,0.3085,R000017
8.03568125889749,5.679801976382669,0.4740718467525755,7.0026164161157585,6.857569500530316,1.938623406036693,4.359051656819084,11.252345885584976,3.0297031633459586,4.590255870762252,Studying,Perfectionism,0.3604,R000018
8.874134316442731,,4.631832700065737,3.38819125985897,6.292663765647105,5.602812381442746,7.42664917056292,5.63768608028091,1.8740788648748132,6.121740293948711,Studying,Overwhelm / Complexity,0.5199,R000019
3.825461004648581,3.4771654020394647,3.4464200190499223,8.314618693080277,6.015527114172408,9.356145660435624,6.404840441303099,6.07420558080199,3.9567387627587385,2.057558431946129,Fitness,Past Failure Loop,0.1782,R000020
4.541274631021702,2.4204753531732743,1.522366115390768,9.110876019209012,7.097645382985189,4.128344638386522,4.654780280249723,3.0736924977514968,4.83948819341166,4.025489344220096,Fitness,Decision Fatigue,0.1769,R000021
8.0299678490326,5.845954931388773,1.8664590232631513,8.773902892930103,6.011855080979194,6.511079846355663,3.7748746775851085,6.379819303271666,0.37986781367262346,5.122071663134596,Studying,Overwhelm / Complexity,0.4037,R000022
6.459045988183714,8.43651225094817,,4.444845372793362,8.288780789101304,5.315280512091219,4.721230168108712,6.225599619702166,5.811888561985336,2.7891890662337504,Career Choices,Lack of Immediate Reward,0.4763,R000023
9.4199249593182,5.92592613333213,-1.6176216791029556,3.1504865201538284,7.486137520052593,,4.842660718835197,3.805645605276364,4.3253604244775765,4.652064423333809,Career Choices,Overwhelm / Complexity,0.3802,R000024
7.071286207543827,4.0510432809148575,3.1342072621377177,,8.079254639150719,5.873825011395797,2.966024014410081,3.377365340851994,,6.359981425459397,Studying,Decision Fatigue,0.3093,R000025
,0.7610501522639792,1.5891490832721198,9.140460750285712,9.734203142824569,2.1457140345417605,4.78481626504216,2.017298930904685,0.13820284445538222,1.7248020645022786,Career Choices,Perfectionism,0.2087,R000026
7.460111140438137,5.292550060870168,2.5615433501264677,2.9217562372886023,3.5799053563370737,1.8521580732985492,,4.324184303823513,-0.3680164730839257,5.880130989901142,Studying,Perfectionism,0.3486,R000027
5.726710774474419,6.177926054769975,0.7676073211644383,5.936884811598474,6.0515890126374785,5.731092344820214,6.149981366757673,,4.552668817457596,3.5762880310718526,Fitness,Lack of Immediate Reward,0.2947,R000028
5.127695505881053,5.284256592369033,3.232616580833178,8.491902090491067,4.935303671020735,5.827913986884777,7.177720256157,4.568263541449325,0.9629918019118273,5.437137331707264,Fitness,Past Failure Loop,0.298,R000029
7.076039427052647,0.740514907421828,3.733487492824722,1.2332784716577727,4.239455402655124,9.18103182448516,4.90901671267684,5.670882952059885,4.949445781469755,1.2387003232847604,Fitness,Fear of Failure,0.3426,R000030
3.852092421104136,5.198767435454744,0.9217951555998534,3.034617572986379,8.02932490871624,5.055968154201717,,3.964308197714929,1.9861912614982873,5.099773962925382,Studying,Decision Fatigue,0.2746,R000031
6.211745599114318,,2.1838231681890536,3.386705571416585,6.240558528620741,8.733109826491798,8.52882319134406,,0.8539943801405945,1.9871337737152066,Career Choices,Lack of Immediate Reward,0.406,R000032
8.09454119990559,3.979070411379075,3.2593730826359812,6.736757348740707,3.882387031777696,7.618323463483717,3.970538543619665,8.045771594243934,2.3838431661026727,3.5918613309814202,Fitness,Overwhelm / Complexity,0.2971,R000033
1.5804377399698382,5.510002083531248,1.6364437966894214,6.5010210873624805,6.761365329042286,3.513961394691477,3.9287535570907766,4.530763922958204,5.674721798056528,4.4376211071327605,Studying,Decision Fatigue,0.1028,R000034
8.021906160163342,7.40580666214642,3.8524189645365636,6.582818015453859,10.814810086157255,4.044867188163699,4.004993828787207,2.329569944246617,3.7538407014573862,4.225215058748044,Career Choices,Lack of Immediate Reward,0.439,R000035
8.09772712134539,7.410399235907883,2.0224560638298987,3.1334681836189517,8.640784367396117,8.505645915853824,2.3903463500345308,6.16884356122662,-2.6801302724127005,5.270358904016671,Career Choices,Decision Fatigue,0.4637,R000036
5.790338159596148,7.76146676657244,-0.6574325483359389,4.316988589920286,5.0759362161310975,8.320202236130937,,2.645565773453155,2.1516701177452804,8.95659805293251,Studying,Lack of Immediate Reward,0.2876,R000037
7.100314447706149,5.9240361456883885,,3.144756569220063,9.000558750557675,3.399596577171532,4.303818102124254,5.06699872902179,6.4926545104818265,4.0168620656922265,Career Choices,Perfectionism,0.3055,R000038
6.2238501739095415,4.374320822116292,2.153679772974972,6.687296778045212,4.55934379003461,5.000186965023641,6.146593748146271,3.351067902374511,4.971744826706921,6.1384786114515135,Studying,Overwhelm / Complexity,0.223,R000039
6.906025590676076,9.665224539485182,3.465411561989742,7.139810840378862,-0.35726401276380004,4.733672759128796,7.1194182404248405,3.224532899200154,4.737400732151585,7.393303942740633,Studying,Lack of Immediate Reward,0.3364,R000040
8.079047411948263,6.174300503595497,1.8605946073439645,4.829434539940066,7.219776232520431,5.742114605791063,10.84892569913264,2.0134657655746917,2.6517055322922953,0.6802870590829531,Career Choices,Lack of Immediate Reward,0.4755,R000041
4.194195939363946,11.548370060636802,1.4270797454095585,,3.95330211627731,6.293430297475274,4.578797819068276,4.683211918742255,,4.140213946310112,Career Choices,Lack of Immediate Reward,0.4285,R000042
9.425921792215316,5.717809234518304,4.352182174075828,4.590589928650164,6.589541451418095,4.407860567465735,4.631699926788139,-0.19725337765116535,2.166088483258503,1.408501703841337,career choices,Lack of Immediate Reward,0.5024,R000043
7.09460535652389,4.983970126792602,0.7478703979590322,8.385283812852066,5.254044704264071,-0.7467502442107339,6.457314466122248,7.650955915873997,5.48658823689974,5.972861208073724,Career Choices,Perfectionism,0.149,R000044
7.547397770550023,8.243145544838834,1.5835679094939994,4.1383277625207695,4.76458752976702,2.096348639128746,7.992482178055532,8.36125810277227,2.495235163757014,4.5348948496765615,Career Choices,Perfectionism,0.4607,R000045
1.7473845960995518,4.927766599404787,3.008533363967561,6.7496917268006635,,9.572036424342304,5.079729379829208,6.77902997709708,3.6600440408795127,3.298980943414578,Fitness,Decision Fatigue,0.2288,R000046
2.9138738229249883,3.072878720288645,1.516138869738014,4.283600881124732,5.595725205050771,6.3362241925861555,7.263131681596953,3.8705175384948007,2.402790496165293,7.4536819586693515,Fitness,Decision Fatigue,0.1747,R000047
,6.343617361430058,3.869812150883272,5.847821700443586,3.342371642770897,9.350426155518509,7.041356158519931,4.63234793535446,6.205255809194381,3.48234306100772,Fitness,Lack of Immediate Reward,0.2605,R000048
7.305340775739825,7.642600478318791,6.945345639296764,3.5896278764956717,8.578577898588893,5.036426637870464,2.4414080511969183,4.760025660331426,3.0044365699794726,,Studying,Past Failure Loop,0.5467,R000049
6.57886504805421,6.703055863186068,1.792730629130478,4.934643254962097,8.497695372032057,4.771073482110788,1.8348764056035503,3.731589963221486,,6.135836521412816,Career Choices,Decision Fatigue,0.3897,R000050
5.873956515904489,1.0910769311940611,2.8448223597422246,3.8645246173704484,4.881175528065976,11.559676777744285,6.046397625142774,3.858754883557375,4.2747991113200206,,Fitness,Overwhelm / Complexity,0.2601,R000051
6.856519587491915,5.177171090480163,1.9716578789472612,7.930715547003886,6.551839567796222,-1.4738908001925077,9.39978317975179,5.36612471394457,3.6180642103226703,8.064720145526113,Studying,Perfectionism,0.2802,R000052
3.8633888844638657,6.588488841093713,4.933744908866803,,4.689556809324403,7.564140446797868,3.931234110231926,4.178880172331196,2.3283403086967644,5.87653613611809,Studying,Lack of Immediate Reward,0.3456,R000053
6.624152078732176,8.431785410417133,5.626966777731168,7.8737185486623655,7.646374291333082,4.687657359388864,3.616168767081928,5.035756865016804,4.054041785591217,7.561681816666768,Studying,Decision Fatigue,0.4737,R000054
9.643483258641954,8.760320768135083,1.7487791117385616,2.8323026149879866,4.956378627101406,2.769442990456419,4.988442877482367,5.787627131755703,-0.046158172299253675,3.0424092941092535,Career Choices,Perfectionism,0.5151,R000055
5.615886247258525,4.480817429494561,2.590449235163126,,4.47264795431413,,5.688588916883505,3.475819633366465,0.016037687236976517,3.080509693189467,Studying,Past Failure Loop,0.2774,R000056
9.36339141722809,3.1049433858537685,2.0195717524879084,9.05137865311563,6.734634149356278,4.227781096301241,4.501922994413447,5.858725016786556,6.0523894751293925,4.991378145793239,Studying,Overwhelm / Complexity,0.2907,R000057
